open,high,low,close,tick_volume,year,month,day
264.08,267,241.09,252,15805,2015,1,27
252.02,255.37,214.3,219.11,12745,2015,1,28
219.34,233.52,212.2,227.04,14301,2015,1,29
227.04,235,218.85,221.21,10713,2015,1,30
225.12,226.84,218.27,221.68,10530,2015,2,2
221.72,240.44,220.68,222.56,15769,2015,2,3
222.56,227.26,218,223.25,9990,2015,2,4
222.67,225,212.12,215.67,7334,2015,2,5
215.63,223,213.24,219.64,7744,2015,2,6
220.45,222.3,213.98,220.99,6887,2015,2,9
220.89,221.28,213.19,217.45,7260,2015,2,10
216.75,220.97,214.86,215.38,4649,2015,2,11
215.3,218.5,214.39,218.05,3306,2015,2,12
218.05,235.95,216.61,231.02,9472,2015,2,13
229,237.37,224.43,232.98,10199,2015,2,16
232.98,243,229.87,237.65,8507,2015,2,17
237.53,241.47,228.33,230.06,6991,2015,2,18
230.09,238.98,230,236.1,5941,2015,2,19
236.1,241.42,231.87,237.79,8478,2015,2,20
229.12,233.94,224.98,233.23,6702,2015,2,23
233.23,233.99,227.78,231.89,5836,2015,2,24
232.1,232.82,228.9,231.01,4493,2015,2,25
231.01,232.14,228.12,230.6,4571,2015,2,26
230.54,252.2,230.54,249.04,9988,2015,2,27
252.2,268.52,247.93,266.34,10455,2015,3,2
266.4,283,262.08,279.52,10194,2015,3,3
279.52,280.45,261.5,265,9494,2015,3,4
265,276.03,259,273,13450,2015,3,5
273.49,275.31,266.22,270.63,6922,2015,3,6
271.66,289.9,270.31,286.73,7805,2015,3,9
286.73,299,284.48,290.94,9111,2015,3,10
290.93,294.49,285.65,291.93,7650,2015,3,11
292,295,290.12,292,4778,2015,3,12
292,292.61,285,285.8,5555,2015,3,13
280.73,290.97,279.4,287.5,6847,2015,3,16
286.8,289.3,281.58,283.97,4676,2015,3,17
284.03,284.03,255.04,256,9736,2015,3,18
256,260,243,252.7,12321,2015,3,19
252.91,260.9,252.7,256.61,7240,2015,3,20
266.08,269.71,257.16,262.92,6771,2015,3,23
262.92,265,243.5,248.19,8978,2015,3,24
248.19,249.75,235.4,243.38,9103,2015,3,25
243.39,252.92,243.14,245.67,6977,2015,3,26
245.63,248,241,245.8,5684,2015,3,27
237.76,247.33,234.08,245.97,7278,2015,3,30
245.94,247.77,238.65,241.79,6614,2015,3,31
241.79,244.41,236.99,242.67,5821,2015,4,1
242.67,253.28,238.99,249.73,7955,2015,4,2
249.53,252.92,247.12,251.64,6990,2015,4,3
254,258.53,247.99,249.27,7442,2015,4,6
249.27,251.99,244,249.48,7486,2015,4,7
249.48,250.5,241,243.89,5774,2015,4,8
243.17,244.69,236,239.99,5143,2015,4,9
240,242.48,229.09,231.43,6589,2015,4,10
232.46,234.29,221.05,222.2,5111,2015,4,13
222,224.51,213.99,215.14,8723,2015,4,14
215.14,222.31,214.18,218.91,6594,2015,4,15
218.91,228.04,218.91,227,6320,2015,4,16
227,227.75,219.43,220.71,5727,2015,4,17
220.69,224.56,219.46,222.11,5050,2015,4,20
221.6,232.85,220.6,230.79,4724,2015,4,21
230.8,236.57,228.61,231.91,6805,2015,4,22
231.99,233.72,230.33,231.51,5259,2015,4,23
231.5,234.03,227.33,230,5945,2015,4,24
217.36,232.44,215,224.4,12517,2015,4,27
224.4,243.71,217.87,226.98,11511,2015,4,28
227.16,230.03,225.05,227.95,6003,2015,4,29
227.66,243.87,226.22,239.57,7443,2015,4,30
239.56,241.28,233.95,235,5622,2015,5,1
241.12,243.05,237.34,238.29,5108,2015,5,4
237.98,239.3,232.96,236.05,4549,2015,5,5
236.05,237.99,233.69,234.93,3866,2015,5,6
234.97,239.66,230.11,238,6347,2015,5,7
237.4,245,235.97,244.15,5109,2015,5,8
239.85,243.72,239.7,242.58,5586,2015,5,11
242.58,243.35,239,240.65,4154,2015,5,12
240.65,243.5,240.06,242.12,5202,2015,5,13
242.12,243.32,235.2,236.52,5537,2015,5,14
